"PK","Lng","Lat"
"504","-73.647238","7.512813"
"505","-73.640135","7.518421"
"506","-73.633088","7.524092"
"507","-73.62669099999999","7.530495"
"508","-73.62108000000001","7.537579"
"509","-73.61569299999999","7.544848999999999"
"510","-73.610305","7.552118"
"511","-73.60491","7.559381000000001"
"512","-73.599515","7.566645"
"513","-73.594123","7.573912"
"514","-73.58872700000001","7.581175999999999"
"515","-73.58355899999999","7.588588"
"516","-73.57919","7.596509"
"517","-73.57531","7.60468"
"518","-73.571476","7.612872"
"519","-73.566878","7.620605"
"520","-73.561173","7.627630000000001"
"521","-73.55547","7.634657"
"522","-73.549763","7.641681"
"523","-73.54405199999999","7.648701"
"524","-73.53833899999999","7.655719999999999"
"525","-73.53263099999999","7.662743"
"526","-73.526929","7.669771"
"527","-73.521227","7.676799"
"528","-73.51552700000001","7.683827999999999"
"529","-73.514306","7.692148"
"530","-73.516609","7.700893"
"16","-74.18264000000001","4.699503"
"17","-74.191636","4.698953"
"18","-74.200633","4.698406"
"19","-74.20963","4.697858"
"20","-74.218388","4.69882"
"21","-74.22546800000001","4.704415"
"22","-74.232535","4.710028"
"23","-74.239604","4.715637"
"24","-74.246672","4.721248"
"25","-74.253739","4.726861"
"26","-74.260817","4.732459"
"27","-74.268254","4.737569"
"5","-74.106843","4.641474"
"43","-74.017371","4.937832"
"44","-74.015416","4.946654"
"45","-74.01428199999999","4.955609"
"46","-74.011523","4.963935"
"47","-74.00606000000001","4.970945"
"48","-74.00312099999999","4.978752"
"49","-74.002848","4.987779"
"531","-73.51892700000001","7.709634"
"532","-73.52126199999999","7.71837"
"533","-73.52358","7.727109"
"534","-73.52589","7.735852"
"535","-73.52819599999999","7.744596"
"536","-73.53054","7.753329999999999"
"537","-73.532876","7.762066"
"538","-73.535231","7.770797"
"539","-73.537601","7.779524"
"540","-73.539968","7.788252"
"541","-73.54234099999999","7.796978"
"542","-73.544715","7.805704"
"543","-73.547084","7.814431000000001"
"544","-73.549452","7.823159"
"545","-73.55183","7.831883"
"546","-73.554233","7.840602"
"547","-73.556636","7.84932"
"548","-73.559048","7.858031999999999"
"549","-73.56147","7.866745"
"550","-73.563902","7.875455000000001"
"551","-73.566343","7.884163"
"552","-73.56879499999999","7.892868"
"553","-73.571263","7.901568"
"554","-73.573736","7.910266999999999"
"555","-73.576215","7.918963999999999"
"556","-73.57871799999999","7.927655"
"557","-73.582426","7.935847"
"558","-73.586833","7.943738999999999"
"559","-73.59043800000001","7.952035"
"560","-73.594049","7.960330000000001"
"561","-73.59768800000001","7.968612"
"562","-73.601326","7.976894"
"563","-73.60496999999999","7.985174000000001"
"564","-73.608631","7.993446"
"565","-73.612295","8.001716999999999"
"566","-73.615977","8.009980000000001"
"567","-73.61968","8.018235000000001"
"568","-73.623394","8.026483000000001"
"569","-73.62708499999999","8.034742"
"570","-73.63027599999999","8.043206"
"571","-73.633439","8.051679999999999"
"572","-73.636605","8.060153"
"573","-73.639775","8.068625000000001"
"574","-73.642939","8.077097999999999"
"575","-73.646107","8.085571"
"576","-73.649271","8.094044999999999"
